window,name,final_portfolio_value_usd,final_sol_equiv,max_drawdown_pct,sortino_ratio,min_health_factor,bars_below_hf_1_5,total_actions,total_interest_paid,total_liquidations,liquidated,avg_target_short_fraction,max_target_short_fraction,hedge_gate_active_share,bars_with_short_target,max_debt_ETH_value,final_debt_ETH_value,usd_gap_vs_static,sol_gap_vs_static,dd_gap_vs_static,strict_improvement_vs_static
early_2021_2023,rs_lb36_u0.0025,21746.575500037645,212.01692015245828,58.809344796511134,2.5930493225609754,1.4764944219643654,52,1974,270.61829615170154,0,False,0.00507659185306558,0.05,0.8358800442022635,2683,347.0654146203839,191.95223925533583,-525.0880335670954,-5.119313966726082,1.3695774103892546,False
early_2021_2023,rs_lb36_u0.0050,21763.017179875733,212.17721731379288,58.77820225799184,2.5933529168277443,1.4764944219643654,52,1970,270.7602334285781,0,False,0.004775559196738178,0.05,0.8298593910757154,2522,347.09644301762233,192.09736634727741,-508.6463537290074,-4.959016805391485,1.3384348718699641,False
early_2021_2023,rs_lb24_u0.0050_g3_0.040_g2_0.000,21796.175877993202,212.5004960319119,59.293680619585565,2.2798807962918497,1.4860841419782647,16,1955,277.5240766096049,0,False,0.0034782608695652175,0.04,0.8251343215333613,2282,0.0,0.0,-475.4876556115378,-4.635738087272472,1.853913233463686,False
early_2021_2023,rs_lb24_u0.0050_g3_0.040_g2_0.025,21796.175877993202,212.5004960319119,59.293680619585565,2.2798807962918497,1.4860841419782647,16,1955,277.5240766096049,0,False,0.00352589261898411,0.04,0.8189612468086728,2332,0.0,0.0,-475.4876556115378,-4.635738087272472,1.853913233463686,False
early_2021_2023,rs_lb24_u0.0050_g3_0.050_g2_0.000,22699.21996950496,221.30466968416653,57.43072635108229,2.6266740851852752,1.4705888353112555,51,1946,276.635007913807,0,False,0.004347826086956522,0.05,0.8252867431315017,2282,401.48502664620685,260.63882173512656,427.5564359002201,4.168435564982161,-0.009041035039587086,True
early_2021_2023,rs_lb24_u0.0050_g3_0.050_g2_0.025,22699.21996950496,221.30466968416653,57.43072635108229,2.6266740851852752,1.4705888353112555,51,1946,276.635007913807,0,False,0.004398315741340548,0.05,0.8169035552337767,2335,401.48502664620685,260.63882173512656,427.5564359002201,4.168435564982161,-0.009041035039587086,True
early_2021_2023,rs_lb24_u0.0050_g3_0.050_g2_0.050,22699.21996950496,221.30466968416653,57.43072635108229,2.6266740851852752,1.4705888353112555,51,1946,276.635007913807,0,False,0.004448805395724574,0.05,0.8169035552337767,2335,401.48502664620685,260.63882173512656,427.5564359002201,4.168435564982161,-0.009041035039587086,True
early_2021_2023,rs_lb24_u0.0050_g3_0.060_g2_0.025,21954.150464377868,214.04065968975206,58.32824824363531,2.6023712174075477,1.4776141180986793,61,2073,267.9787780045217,0,False,0.005241207179057273,0.06,0.8189612468086728,2307,1132.8724199851818,502.0526165307118,-317.5130692268722,-3.095574429432304,0.8884808575134286,False
late_2024_2025,static_light_hedge,27505.179567805277,220.12948833777733,37.88624114011039,1.3055039702860445,1.4514502819626491,113,1130,521.8702457696488,0,False,0.012868843102562639,0.05,1.0,4582,589.15375,353.3809124072708,0.0,0.0,0.0,True
late_2024_2025,rs_lb18_u0.0000,27582.072483704662,220.7448778207656,37.8768522653388,1.3065152935672506,1.4373999189529967,118,1107,521.8347069098537,0,False,0.005239426973346271,0.05,0.8440157525255407,1886,630.7396369462934,379.1339531990851,76.89291589938512,0.6153894829882631,-0.009388874771595113,True
late_2024_2025,rs_lb18_u0.0025,27590.398105656925,220.81150944903501,37.876852265338776,1.3068113598676172,1.4373999189529965,117,1107,521.9908822710146,0,False,0.004690086182295531,0.05,0.8344272587181097,1680,630.9300250968122,379.2483944168559,85.21853785164785,0.6820211112576828,-0.009388874771616429,True
late_2024_2025,rs_lb18_u0.0050,27590.398105656925,220.81150944903501,37.876852265338776,1.3068113598676172,1.4373999189529965,117,1107,521.9908822710146,0,False,0.00417927058957822,0.05,0.8238114262884538,1494,630.9300250968122,379.2483944168559,85.21853785164785,0.6820211112576828,-0.009388874771616429,True
late_2024_2025,rs_lb18_u0.0075,27600.07411351806,220.8889484875395,37.87685226533876,1.3071529600561809,1.4373999189529967,116,1103,522.1730608382475,0,False,0.0035928314593915876,0.05,0.8139375606415159,1263,631.1512935199461,379.3813975881597,94.89454571278475,0.7594601497621625,-0.00938887477163064,True
late_2024_2025,rs_lb24_u0.0000,28419.971349912837,227.4507510997426,37.85175521787741,1.3292177728481889,1.453254235378052,101,1160,539.6086038104161,0,False,0.005276525312482164,0.05,0.8496090405798756,1856,762.34620759689,458.24190277921275,914.7917821075607,7.321262761965272,-0.034485922232981636,True
late_2024_2025,rs_lb24_u0.0025,28278.434044685244,226.31799955730486,37.8501226708915,1.3270264703073176,1.4654971129674768,87,1156,536.0172979398992,0,False,0.00502111751612351,0.05,0.8378517207921923,1824,765.838264304204,460.34095789908633,773.2544768799671,6.188511219527527,-0.03611846921889139,True
late_2024_2025,rs_lb24_u0.0050,28277.207916263553,226.30818660475032,37.85012267089149,1.326776371649246,1.465497112967476,86,1144,535.985741789082,0,False,0.004453227555504823,0.05,0.8286056731921694,1593,765.8050582199916,460.32099791363385,772.028348458276,6.178698266972987,-0.0361184692189056,True
late_2024_2025,rs_lb24_u0.0075,28272.279491021818,226.26874342554476,37.85012267089149,1.326606570197114,1.4654971129674768,85,1144,535.8944433664823,0,False,0.004127903658466982,0.05,0.8192454768563439,1500,765.6715863089639,460.2407687187255,767.0999232165414,6.139255087767424,-0.0361184692189056,True
late_2024_2025,rs_lb36_u0.0000,28375.075322729244,227.09143915749695,37.85379367305715,1.3303937861042383,1.465510451030642,86,1152,538.6192394597709,0,False,0.005490554192112323,0.05,0.8540608412761829,1932,752.009916845404,452.0288181013589,869.8957549239676,6.961950819719618,-0.032447467053245305,True
late_2024_2025,rs_lb36_u0.0025,28374.467619887844,227.08657558933848,37.85379367305719,1.3303509162064617,1.465497112967477,86,1156,538.6324820387129,0,False,0.005150961703099138,0.05,0.8464699503452999,1826,751.9938112119205,452.01913709808326,869.2880520825674,6.957087251561148,-0.03244746705320267,True
